CODPROD;FECHAVIG;PRECIOV
2311;01/08/2003;0,4
2312;22/10/2002;0,3636
2312;01/08/2003;0,4
2313;22/10/2002;0,3636
2313;01/08/2003;0,4
2316;23/10/2003;0,3333
2317;22/10/2002;0,3636
2317;01/08/2003;0,4
2318;03/02/2004;0,555
2319;01/03/2004;0,62
2320;12/09/2002;7,2
2320;08/06/2005;8
2320;22/06/2005;7,5
2320;01/01/2006;7,5
2320;14/11/2006;8
2320;01/03/2007;8,5
2320;13/08/2007;9
2320;18/03/2008;9,5
2320;21/02/2011;11
2321;12/09/2002;7,2
2321;08/06/2005;8
2321;22/06/2005;7,5
2321;01/01/2006;7,5
2321;08/01/2007;8
2321;13/08/2007;9
2321;18/03/2008;9,5
2321;21/02/2011;11
2322;12/09/2002;7,2
2322;08/06/2005;8
2322;22/06/2005;7,5
2322;01/01/2006;7,5
2322;14/11/2006;8
2322;01/03/2007;8,5
2322;13/08/2007;9
2322;18/03/2008;9,5
2322;21/02/2011;11
2323;12/09/2002;7,2
2323;08/06/2005;8
2323;22/06/2005;7,5
2323;01/01/2006;7,5
2323;14/11/2006;8
2323;01/03/2007;8,5
2323;13/08/2007;9
2323;18/03/2008;9,5
2323;21/02/2011;11
2324;12/09/2002;7,2
2324;22/06/2005;7,5
2325;12/09/2002;7,2
2325;08/06/2005;8
2325;22/06/2005;7,5
2326;12/09/2002;7,2
2326;08/06/2005;8
2326;22/06/2005;7,5
2327;30/09/2002;7,2
2327;01/11/2002;7,2
2327;01/08/2003;7,2
2327;01/09/2004;7,5
2327;08/06/2005;8
2327;22/06/2005;7,5
2328;20/01/2011;0,75
2329;20/01/2011;0,75
2330;26/06/2006;6,5
2330;14/11/2006;7
2330;08/01/2007;7,3
2330;23/07/2007;7,5
2330;18/03/2008;8,5
2330;21/02/2011;9,5
2331;26/06/2006;6,5
2331;14/11/2006;7
2331;08/01/2007;7,3
2331;23/07/2007;7,5
2331;18/03/2008;8,5
2331;21/02/2011;9,5
2332;26/06/2006;6,5
2332;14/11/2006;7
2332;08/01/2007;7,3
2332;23/07/2007;7,5
2332;18/03/2008;8,5
2332;21/02/2011;9,5
2333;26/06/2006;6,5
2333;14/11/2006;7
2333;08/01/2007;7,3
2333;23/07/2007;7,5
2333;18/03/2008;8,5
2333;21/02/2011;9,5
2334;01/10/2005;7,5
2334;26/06/2006;6,5
2334;14/11/2006;7
2334;08/01/2007;7,3
2334;23/07/2007;7,5
2334;18/03/2008;8,5
2336;13/09/2005;0,74
2340;23/12/2008;6
2340;12/10/2009;6,5
2341;23/12/2008;6
2341;12/10/2009;6,5
2342;23/12/2008;6
2342;12/10/2009;6,5
2343;23/12/2008;6
2343;12/10/2009;6,5
2344;23/12/2008;6
2344;12/10/2009;6,5
2345;23/12/2008;6
2345;12/10/2009;6,5
2346;23/12/2008;6
2346;12/10/2009;6,3
2346;13/10/2009;6,5
2347;23/12/2008;6
2347;12/10/2009;6,3
2347;13/10/2009;6,5
2349;23/03/2004;0,8
2350;12/09/2002;1,6
2351;12/09/2002;1,6
2351;01/08/2003;1,6
2352;12/09/2002;1,6
2352;01/08/2003;1,6
2353;12/09/2002;1,6
2353;01/08/2003;1,6
2354;12/09/2002;1,6
2354;01/08/2003;1,6
2360;12/09/2002;9
2360;01/08/2003;9
2361;12/09/2002;9
2361;01/08/2003;9
2362;12/09/2002;9
2362;01/08/2003;9
2363;12/09/2002;9
2363;01/08/2003;9
2364;12/09/2005;34,692
2364;01/10/2005;4,51
2365;03/12/2008;9
2380;27/09/2002;16,041
2380;01/08/2003;16,041
2380;02/02/2004;1,5
2380;14/09/2012;2,51
2390;27/09/2002;0,4
2390;29/09/2002;0,3561
2390;01/08/2003;0,3561
2390;08/02/2005;0,3788
2390;01/10/2005;0,4
2390;18/10/2006;0,4015
2390;23/07/2007;0,5
2390;21/02/2008;0,5
2390;27/10/2008;0,60606
2390;12/10/2009;0,61
2390;14/09/2012;0,87
2391;27/08/2005;0,4
2391;18/10/2006;0,4015
2391;23/07/2007;0,5
2391;21/02/2008;0,5
2391;27/10/2008;0,42424
2391;12/10/2009;0,45
2391;17/01/2011;0,41
2392;27/08/2005;0,4
2392;21/02/2008;0,5
2392;27/10/2008;0,42424
2392;16/01/2011;0,45
2392;17/01/2011;0,41
2393;09/09/2005;0,4
2393;18/10/2006;0,4015
2394;09/09/2005;0,4
2395;09/09/2005;0,4
2396;01/07/2006;2,6
2400;12/09/2002;0,4
2400;01/08/2003;0,4
2401;19/11/2003;0,4
2401;18/10/2006;0,4
2401;23/07/2007;0,5
2401;21/02/2008;0,5
2401;27/10/2008;0,61667
2401;12/10/2009;0,62
2401;17/12/2010;0,8
2402;27/08/2005;0,4
2402;21/02/2008;0,5
2402;27/10/2008;0,61667
2403;27/08/2005;0,4
2403;21/02/2008;0,5
2403;27/10/2008;0,61667
2410;12/09/2002;0,75
2410;01/08/2003;0,75
2410;01/10/2005;0,8
2410;18/10/2006;0,8
2410;23/07/2007;1,1
2410;23/08/2007;0,8
2410;21/02/2008;0,81
2410;27/10/2008;109,091
2410;16/01/2011;1,15
2420;27/09/2002;11,667
2420;01/08/2003;11,667
2420;21/05/2009;0,001
2427;01/04/2003;0,7
2427;01/05/2003;0,75
2427;01/08/2003;0,75
2427;01/09/2004;0,4015
2430;12/09/2002;0,4
2430;01/08/2003;0,4
2431;29/09/2002;0,4
2431;01/08/2003;0,4
2431;23/08/2007;0,4
2431;21/02/2008;0,425
2431;27/10/2008;0,425
2432;22/12/2002;0,4
2432;01/08/2003;0,4
2432;18/10/2006;0,4
2432;23/07/2007;0,5
2432;23/08/2007;0,4
2432;21/02/2008;0,425
2432;12/10/2009;0,45
2432;16/01/2011;0,75
2435;23/08/2007;0,4
2435;21/02/2008;0,425
2435;27/10/2008;0,425
2436;23/08/2007;0,4
2436;21/02/2008;0,425
2436;27/10/2008;0,42424
2437;23/08/2007;0,4
2437;21/02/2008;0,425
2437;27/10/2008;0,42424
2438;23/08/2007;0,4
2438;21/02/2008;0,425
2438;27/10/2008;0,42424
2445;27/09/2002;0,4015
2445;01/08/2003;0,4015
2445;01/10/2005;0,4
2445;18/10/2006;0,4015
2445;23/07/2007;0,5
2445;23/08/2007;0,4
2445;21/02/2008;0,425
2445;12/10/2009;0,45
2445;15/11/2010;0,4
2445;16/01/2011;0,75
2450;27/09/2002;0,3561
2451;27/09/2002;0,3561
2452;27/09/2002;0,3561
2453;27/09/2002;0,3561
2454;27/09/2002;0,3561
2455;27/09/2002;0,3561
2456;27/09/2002;0,3561
2457;27/09/2002;0,3561
2458;01/10/2002;0,3561
2458;01/08/2003;0,3561
2458;08/02/2005;0,3788
2458;01/10/2005;0,4
2458;21/05/2009;0,001
2461;02/07/2005;0,4167
2461;24/10/2005;0,4167
2461;18/10/2006;0,42
2461;20/09/2007;0,5
2461;21/02/2008;0,5
2461;27/10/2008;0,61111
2461;16/01/2011;0,75
2462;02/07/2005;0,4
2462;21/02/2008;0,5
2462;27/10/2008;0,61111
2463;02/07/2005;0,4
2464;02/07/2005;0,4
2465;02/07/2005;0,4
2466;02/07/2005;0,4
2466;21/02/2008;0,5
2466;27/10/2008;0,61111
2470;27/09/2002;11,052
2471;06/12/2003;16,574
2471;10/12/2003;16,574
2471;03/02/2004;16,574
2471;01/10/2005;16,574
2471;18/10/2006;16,574
2471;23/07/2007;2
2471;21/02/2008;2
2471;27/10/2008;222,222
2471;12/10/2009;2,3
2471;24/10/2012;2,51
2472;16/08/2008;3,5
2472;27/10/2008;4
2472;12/10/2009;4,3
2472;15/11/2010;3,8
2473;03/12/2008;0,425
2473;12/10/2009;0,45
2473;16/01/2011;0,75
2474;07/11/2008;11,818
2474;12/10/2009;1,25
2475;19/05/2010;3,5
2475;15/11/2010;3
2475;14/09/2012;3,31
2480;12/09/2002;0,8
2480;01/08/2003;0,8
2480;18/10/2006;0,8
2480;23/07/2007;1,1
2480;21/02/2008;1,25
2481;01/08/2003;0,697
2481;28/02/2004;0,697
2481;01/10/2005;0,8
2490;27/09/2002;0,697
2490;21/02/2008;0,8
2490;27/10/2008;0,80303
2491;27/09/2002;0,697
2491;21/02/2008;0,8
2491;27/10/2008;0,80303
2492;27/09/2002;0,697
2492;01/08/2003;0,697
2492;01/10/2005;0,8
2492;18/10/2006;0,8
2492;23/07/2007;1,1
2492;21/02/2008;0,8
2492;21/05/2009;0,803
2492;12/10/2009;0,85
2500;27/09/2002;11,667
2500;01/08/2003;11,667
2500;18/10/2006;1,2
2500;23/07/2007;1,5
2500;21/02/2008;1,5
2500;27/10/2008;158,333
2500;12/10/2009;1,7
2500;14/09/2012;2
2501;01/10/2005;0,8
2501;21/02/2008;1,1
2501;27/10/2008;114,583
2502;01/10/2005;0,8
2502;21/02/2008;1,1
2502;27/10/2008;114,583
2503;01/10/2005;0,8
2504;01/10/2005;0,8
2504;21/02/2008;1,1
2504;27/10/2008;114,583
2505;01/10/2005;0,8
2510;12/09/2002;0,4
2510;01/12/2004;0,4018
2511;12/09/2002;0,4
2511;01/12/2004;0,4018
2512;12/09/2002;0,4
2512;01/12/2004;0,4018
2513;12/09/2002;0,4
2513;01/12/2004;0,4018
2514;12/09/2002;0,4
2514;01/08/2003;0,4
2514;01/12/2004;0,4018
2516;13/06/2005;0,75
2516;01/10/2005;0,7
2516;18/10/2006;0,7143
2516;23/07/2007;0,8
2516;21/02/2008;1,1
2516;21/05/2009;11,071
2516;12/10/2009;1,11
2517;01/10/2005;0,7
2517;21/02/2008;1,1
2517;27/10/2008;110,714
2518;01/10/2005;0,7
2518;21/02/2008;1,1
2518;27/10/2008;110,714
2519;01/10/2005;0,7
2519;21/02/2008;1,1
2519;27/10/2008;110,714
2520;27/09/2002;19,118
2520;01/08/2003;19,118
2520;03/05/2004;2,04
2521;01/04/2003;1,91
2522;27/09/2003;0,7
2522;01/09/2004;0,75
2522;01/10/2005;0,8
2522;18/10/2006;0,8
2522;23/07/2007;1,1
2522;21/02/2008;1,1
2522;21/05/2009;11,458
2522;12/10/2009;1,3
2523;15/01/2004;20,384
2523;03/05/2004;20,384
2523;18/10/2006;2,2
2523;23/07/2007;2,5
2523;20/09/2007;3,5
2523;21/02/2008;3,5
2523;21/05/2008;3,5
2523;27/10/2008;346,154
2523;12/10/2009;3,7
2523;17/01/2011;4,7
2523;08/02/2011;3,7
2524;15/01/2004;1,91
2524;03/05/2004;2,04
2524;21/02/2008;3,5
2524;27/10/2008;346,154
2525;01/10/2005;0,7
2527;12/03/2007;2,2
2527;16/05/2007;3,5
2527;20/09/2007;4
2527;21/02/2008;4,15
2527;21/05/2008;4,15
2527;27/10/2008;430,769
2527;12/10/2009;4,7
2527;08/02/2011;3,7
2527;01/03/2011;4,7
2528;01/12/2003;0,4
2530;12/03/2007;2,2
2530;16/05/2007;3,5
2530;21/08/2007;2,5
2530;20/09/2007;4
2530;21/02/2008;4,15
2530;21/05/2008;4,15
2530;27/10/2008;430,769
2530;12/10/2009;4,7
2531;12/03/2007;2,2
2531;16/05/2007;3,5
2531;20/05/2009;43,077
2531;12/10/2009;4,7
2532;19/05/2009;43,077
2532;12/10/2009;4,7
2533;12/09/2002;0,7
2534;01/10/2002;0,7
2534;01/08/2003;0,7
2536;28/02/2004;0,7
2536;15/03/2004;0,4
2537;03/12/2004;0,65
2538;01/10/2005;0,7
2540;12/09/2002;1,6
2540;21/02/2008;3
2540;27/10/2008;3
2541;12/09/2002;1,6
2541;21/02/2008;3
2541;27/10/2008;3
2542;12/09/2002;1,6
2542;21/02/2008;3
2542;27/10/2008;3
2543;12/09/2002;1,6
2544;12/09/2002;1,6
2545;12/09/2002;1,6
2545;01/08/2003;1,6
2545;08/02/2005;2
2545;01/10/2005;2
2545;18/10/2006;2
2545;23/07/2007;2,5
2545;20/09/2007;3
2545;17/01/2011;2
2545;21/10/2011;2,4
2546;01/01/2012;4,2
2547;01/01/2012;4,2
2550;12/09/2002;1,6
2550;21/02/2008;3
2550;27/10/2008;3
2551;12/09/2002;1,6
2551;21/02/2008;3
2551;27/10/2008;3
2552;12/09/2002;1,6
2552;01/08/2003;1,6
2552;08/02/2005;2
2552;01/10/2005;2
2552;18/10/2006;2
2552;23/07/2007;2,5
2552;20/09/2007;3
2552;21/02/2008;3
2560;12/09/2002;0,4
2560;01/06/2009;0,8
2561;12/09/2002;0,4
2561;01/06/2009;0,8
2562;12/09/2002;0,4
2562;01/06/2009;0,8
2563;12/09/2002;0,4
2563;01/06/2009;0,8
2564;12/09/2002;0,4
2570;27/09/2002;0,3959
2570;21/02/2008;0,5
2570;27/10/2008;0,41667
2571;27/09/2002;0,3959
2572;27/09/2002;0,3959
2573;27/09/2002;0,3959
2573;21/02/2008;0,5
2573;27/10/2008;0,41667
2573;12/10/2009;0,45
2573;17/12/2010;0,65
2573;16/01/2011;0,75
2574;27/09/2002;0,3959
2574;21/02/2008;0,5
2574;27/10/2008;0,41667
2575;27/09/2002;0,3959
2580;01/11/2002;8
2580;01/08/2003;8
2580;01/09/2004;8,5
2590;12/09/2002;0,7
2590;01/08/2003;0,7
2590;30/07/2006;0,5
2590;08/01/2007;0,7
2590;23/07/2007;0,5
2591;12/09/2002;0,7
2591;01/08/2003;0,7
2591;30/07/2006;0,5
2591;08/01/2007;0,7
2591;23/07/2007;0,5
2600;27/09/2002;0,4
2600;01/08/2003;0,4
2600;01/09/2004;0,4
2600;12/10/2009;0,38
2600;13/10/2009;0,4
2601;01/04/2003;0,4
2601;01/06/2003;0,4
2601;01/08/2003;0,4
2601;09/11/2004;0,4
2601;19/06/2009;0,4
2602;01/04/2003;0,7
2602;01/08/2003;0,7
2602;01/04/2007;0,4
2602;19/06/2009;0,4
2602;12/10/2009;0,4
2610;12/09/2002;2,5
2610;28/07/2003;2,5
2610;01/08/2003;2,5
2610;13/08/2007;2,6
2610;01/01/2011;3
2611;20/11/2003;0,375
2612;28/07/2003;2,5
2612;01/08/2003;2,5
2613;16/07/2005;4,5
2614;16/07/2005;4,5
2614;10/09/2008;3,67
2614;12/10/2009;4,5
2620;12/09/2002;6
2620;23/06/2003;6
2620;01/08/2003;6
2620;25/10/2004;6
2620;10/11/2004;6
2620;05/09/2005;6
2620;01/10/2005;6
2620;11/10/2006;61,667
2620;13/08/2007;63,333
2620;18/11/2008;6,5
2620;28/02/2011;7,5
2621;25/03/2003;6
2621;23/06/2003;6
2621;01/08/2003;6
2621;25/10/2004;6
2621;10/11/2004;6
2621;05/09/2005;6
2621;01/10/2005;6
2621;11/10/2006;61,667
2621;13/08/2007;63,333
2621;18/11/2008;6,5
2621;28/02/2011;7,5
2622;01/08/2003;5,5
2622;08/01/2004;5
2622;15/01/2004;5
2623;01/04/2003;12
2623;01/08/2003;12
2626;23/07/2007;0,5
2626;12/10/2009;0,5
2626;01/01/2011;0,6
2630;12/09/2002;13,5
2630;20/02/2003;13,5
2630;01/08/2003;13,5
2630;01/10/2005;13,5
2630;13/08/2007;14
2630;12/10/2009;14,5
2630;01/01/2011;15
2631;01/04/2003;13,5
2631;01/08/2003;13,5
2640;12/09/2002;1,2
2640;01/08/2003;1,2
2640;24/07/2006;1,6
2640;08/01/2007;1,7
2640;16/05/2007;1,3
2640;23/07/2007;1,5
2640;15/02/2008;1,6
2640;10/09/2008;1,3
2641;15/02/2008;1,6
2641;10/09/2008;1,3
2641;12/10/2009;1,6
2641;13/10/2009;1,4
2641;14/05/2010;1,5
2641;01/01/2011;1,25
2641;28/02/2011;1,5
2642;15/02/2008;1,6
2642;10/09/2008;1,3
2642;12/10/2009;1,4
2642;14/05/2010;1,5
2642;01/01/2011;1,25
2642;28/02/2011;1,5
2643;15/02/2008;1,6
2643;10/09/2008;1,3
2643;12/10/2009;1,4
2643;14/05/2010;1,5
2643;01/01/2011;1,25
2643;28/02/2011;1,5
2644;15/02/2008;1,6
2644;10/09/2008;1,3
2644;12/10/2009;1,4
2644;14/05/2010;1,5
2644;01/01/2011;1,25
2644;28/02/2011;1,5
2645;15/02/2008;1,6
2645;10/09/2008;1,3
2645;01/01/2011;1,25
2650;12/09/2002;10,5
2650;20/02/2003;12
2650;01/08/2003;12
2660;12/09/2002;6
2660;23/06/2003;6
2660;01/08/2003;6
2660;25/10/2004;6
2660;10/11/2004;6
2660;11/10/2006;61,667
2660;13/08/2007;6,333
2660;18/11/2008;6,5
2660;28/02/2011;7,5
2661;09/11/2004;6
2661;05/09/2005;6
2661;01/10/2005;6
2661;11/10/2006;61,667
2661;13/08/2007;6,333
2661;18/11/2008;6,5
2661;28/02/2011;7,5
2662;12/09/2002;6
2662;23/06/2003;6
2662;01/08/2003;6
2662;25/10/2004;6
2662;10/11/2004;6
2662;05/09/2005;6
2662;01/10/2005;6
2662;11/10/2006;61,667
2662;13/08/2007;63,333
2662;18/11/2008;6,5
2662;28/02/2011;7,5
2663;16/11/2011;7,5
2670;12/09/2002;2,5
2670;01/08/2003;2,5
2671;26/06/2009;3,666
2671;12/10/2009;4
2671;13/10/2009;3,8
2671;02/08/2010;4
2671;01/01/2011;4,3
2680;12/09/2002;0,65
2680;01/08/2003;0,65
2680;25/03/2008;6,33
2680;22/07/2008;7,5
2680;08/04/2009;6,5
2680;01/07/2009;7,5
2680;13/09/2010;6,5
2680;01/11/2010;7
2680;01/01/2011;7,5
2680;28/02/2011;8,25
2680;11/08/2011;8,583
2681;25/03/2008;6,33
2681;22/07/2008;7,5
2681;08/04/2009;6,5
2681;01/07/2009;7,5
2681;13/09/2010;6,5
2681;01/11/2010;7
2681;01/01/2011;7,5
2681;28/02/2011;8,25
2681;11/08/2011;8,583
2682;25/03/2008;6,33
2682;22/07/2008;7,5
2682;08/04/2009;6,5
2682;01/07/2009;7,5
2682;13/09/2010;6,5
2682;01/04/2011;8,25
2682;11/08/2011;8,583
2682;20/01/2012;7
2682;22/02/2012;8,583
2683;25/03/2008;6,33
2683;22/07/2008;7,5
2683;08/04/2009;6,5
2683;01/07/2009;7,5
2683;13/09/2010;6,5
2683;01/11/2010;7
2683;01/01/2011;7,5
2683;28/02/2011;8,25
2683;11/08/2011;8,583
2684;25/03/2008;6,33
2684;22/07/2008;7,5
2684;08/04/2009;6,5
2684;01/07/2009;7,5
2684;13/09/2010;6,5
2684;01/11/2010;7
2684;01/01/2011;7,5
2684;28/02/2011;8,25
2684;11/08/2011;8,583
2685;01/03/2009;7,5
2685;13/09/2010;6,5
2685;01/11/2010;7
2685;01/01/2011;7,5
2685;28/02/2011;8,25
2685;11/08/2011;8,583
2686;24/05/2011;8,5
2686;01/09/2011;8,583
2686;22/12/2011;9,4
2686;26/01/2012;8,7
2687;24/05/2011;8,5
2687;01/09/2011;8,583
2687;22/12/2011;9,4
2687;26/01/2012;8,7
2688;24/05/2011;8,5
2688;01/09/2011;8,583
2688;22/12/2011;9,4
2688;26/01/2012;8,7
2690;27/09/2002;0,4
2690;01/08/2003;0,4
2690;01/09/2004;0,4
2690;12/10/2009;0,4
2691;09/06/2005;0,4
2691;11/06/2005;0,4
2691;19/06/2009;0,4
2691;12/10/2009;0,4
2692;22/07/2010;0,4
2698;10/10/2006;5,5
2699;24/09/2006;3
2700;12/09/2002;1,2
2700;01/08/2003;1,2
2700;08/01/2007;1,7
2700;10/09/2008;1,3
2719;30/08/2010;3
2719;28/02/2011;3,2
2720;12/09/2002;2,5
2720;01/12/2006;2,7
2720;13/08/2007;2,9
2720;18/11/2008;3
2720;28/02/2011;3,2
2721;22/07/2003;2,5
2721;01/08/2003;2,5
2721;11/10/2006;2,7
2722;01/08/2003;2,5
2722;11/10/2006;2,7
2722;13/08/2007;2,9
2722;18/11/2008;3
2722;28/02/2011;3,2
2723;01/08/2003;2,5
2723;11/10/2006;2,7
2724;01/12/2006;2,7
2724;13/08/2007;2,9
2724;18/11/2008;3
2725;10/06/2004;8
2725;01/01/2010;1,66
2725;01/04/2010;1,75
2725;02/08/2010;1,8
2725;01/01/2011;2
2726;21/12/2009;1,66
2726;01/04/2010;1,75
2726;02/08/2010;1,8
2726;01/01/2011;2
2727;21/12/2009;1,66
2727;01/04/2010;1,75
2727;03/08/2010;1,8
2727;01/01/2011;2
2728;21/12/2009;1,66
2728;01/04/2010;1,75
2728;02/08/2010;1,8
2729;21/12/2009;1,66
2729;01/04/2010;1,75
2729;02/08/2010;1,8
2729;01/01/2011;2
2730;12/09/2002;2,5
2730;01/08/2003;2,5
2730;11/10/2006;2,7
2730;13/08/2007;2,9
2730;18/11/2008;3
2731;23/07/2003;2,5
2731;01/08/2003;2,5
2731;11/10/2006;2,7
2731;01/07/2008;0,45
2732;12/11/2004;2,5
2732;11/10/2006;2,7
2732;12/10/2009;2,75
2733;01/12/2006;2,7
2733;13/08/2007;2,9
2733;18/11/2008;3
2733;01/03/2011;3,2
2734;14/05/2011;2,5
2734;20/09/2011;2,1
2735;23/05/2011;3
2735;06/06/2011;0
2790;01/04/2003;1,5
2790;01/08/2003;1,5
2790;15/01/2004;1,25
2790;01/09/2009;1,7
2790;13/10/2009;2
2790;14/05/2010;1,5
2790;01/01/2011;1,25
2790;21/02/2011;1,5
2791;01/04/2003;1,5
2791;01/08/2003;1,5
2791;15/01/2004;1,25
2791;01/09/2009;1,7
2791;13/10/2009;2
2791;14/05/2010;1,5
2791;01/01/2011;1,25
2791;21/02/2011;1,5
2793;01/04/2003;1,5
2793;01/08/2003;1,5
2793;15/01/2004;1,25
2793;01/09/2009;1,7
2793;13/10/2009;2
2795;01/04/2003;1,5
2795;01/08/2003;1,5
2795;15/01/2004;1,25
2796;01/04/2003;1,5
2796;01/08/2003;1,5
2796;15/01/2004;1,25
2796;28/10/2004;1,25
2797;01/08/2003;1,5
2797;15/01/2004;1,25
2798;17/07/2003;1,2
2798;01/08/2003;1,2
2799;18/07/2003;16,296
2799;01/08/2003;1,63
2800;12/09/2002;0,75
2800;01/08/2003;0,75
2800;01/10/2005;0,8
2801;28/02/2004;4
2801;25/10/2004;4
2801;01/09/2009;5,2
2801;13/10/2009;5,2
2801;14/05/2010;4,5
2801;21/02/2011;5
2802;28/02/2004;5
2802;25/10/2004;4
2802;01/09/2009;5,2
2802;13/10/2009;5,2
2802;14/05/2010;4,5
2802;21/02/2011;5
2803;01/03/2004;4
2803;25/10/2004;4
2803;01/09/2009;5,2
2803;13/10/2009;5,2
2803;14/05/2010;4,5
2803;21/02/2011;5
2803;23/05/2011;4,867
2804;30/12/2002;0,75
2804;01/08/2003;0,75
2804;23/12/2005;0,8
2804;21/02/2008;0,8
2804;27/10/2008;109,091
2805;30/12/2002;0,75
2805;01/08/2003;0,75
2805;23/12/2005;0,8
2805;21/02/2008;0,8
2805;27/10/2008;109,091
2806;01/10/2002;0,75
2806;01/08/2003;0,75
2806;23/12/2005;0,8
2806;18/10/2006;0,8
2806;21/02/2008;0,8
2806;27/10/2008;109,091
2806;21/05/2009;0,803
2806;12/10/2009;0,8
2807;01/03/2004;4
2807;25/10/2004;4
2808;12/08/2004;5
2808;28/10/2004;5
2809;01/10/2011;7
2810;12/09/2002;0,4
2811;01/10/2011;7
2812;01/02/2012;7
2815;01/03/2012;50
2816;01/03/2012;50
2817;01/03/2012;45
2817;19/05/2012;50
2818;19/05/2012;62
2819;19/05/2012;50
2820;12/09/2002;2,5
2821;08/12/2012;45
2822;08/12/2012;45
2823;08/12/2012;45
2824;08/12/2012;45
2825;08/12/2012;25
2826;08/12/2012;25
2830;12/09/2002;2,5
2834;01/03/2012;17
2835;01/03/2012;17
2836;01/03/2012;17
2837;01/03/2012;17
2838;20/11/2012;17
2860;30/09/2002;6,5
2860;07/06/2003;5,5
2860;06/12/2004;6,5
2860;16/11/2006;7
2860;23/07/2007;8
2860;18/03/2008;9
2860;12/01/2011;9,5
2860;21/02/2011;9,5
2861;07/06/2003;5,5
2861;06/12/2004;6,5
2861;01/09/2010;10
2861;21/02/2011;10
2865;01/10/2002;0,5
2865;19/04/2006;17
2865;22/08/2006;24
2865;30/09/2006;19
2865;23/07/2007;24
2865;18/03/2008;24
2865;12/10/2009;25,2
2865;13/10/2009;30
2865;21/02/2011;33
2866;06/09/2005;9,24
2866;01/10/2005;9,24
2866;04/11/2005;9,24
2866;19/04/2006;15
2866;22/08/2006;24
2866;30/09/2006;19
2866;23/07/2007;24
2866;18/03/2008;24
2866;12/10/2009;32
2866;13/10/2009;30
2866;21/02/2011;33
2870;30/09/2002;1
2870;01/08/2003;0,8
2895;15/01/2003;45
2896;01/02/2010;8,5
2896;21/02/2011;9,5
2897;07/07/2005;8
2897;18/07/2005;7,8
2897;29/07/2005;8
2897;01/10/2005;7,5
2897;06/01/2006;7
2897;14/11/2006;7,5
2897;01/03/2007;8
2897;18/03/2008;8,5
2897;21/02/2011;9,5
2898;18/07/2005;7,8
2898;01/10/2005;7,5
2898;06/01/2006;7
2898;14/11/2006;7,5
2898;01/03/2007;8
2898;18/03/2008;8,5
2898;01/02/2010;8,5
2898;21/02/2011;9,5
2899;18/07/2005;7,8
2899;01/10/2005;7,5
2899;06/01/2006;7
2899;14/11/2006;7,5
2899;01/03/2007;8
2899;18/03/2008;8,5
2899;01/02/2010;8,5
2899;21/02/2011;9,5
2903;22/10/2002;8
2903;01/08/2003;8
2903;01/10/2005;8,5
2904;01/07/2003;2,6
2904;03/08/2004;2,8
2904;22/08/2005;2,9
2905;01/07/2003;0,1831
2906;01/08/2003;1,63
2924;20/01/2010;0,803
2925;27/07/2009;0,9
2926;01/08/2006;0,85
2926;08/01/2007;0,87
2926;23/07/2007;0,87
2926;27/11/2007;0,87
2926;18/03/2008;0,9
2926;21/02/2011;1
2927;01/08/2006;0,85
2927;08/01/2007;0,87
2927;23/07/2007;0,87
2927;27/11/2007;0,87
2927;18/03/2008;0,85
2927;31/03/2008;0,87
2927;01/05/2008;0,9
2927;21/02/2011;1
2927;19/11/2011;0,9
2927;01/03/2012;1
2928;01/08/2006;0,85
2928;08/01/2007;0,87
2928;23/07/2007;0,87
2928;27/11/2007;0,87
2928;18/03/2008;0,9
2928;21/02/2011;1
2929;01/06/2006;2,6
2929;17/07/2006;2,6
2929;01/10/2006;2,75
2929;16/10/2006;2,75
2929;08/01/2007;2,9
2929;01/03/2007;3
2929;23/04/2007;3,2
2929;23/07/2007;3,3
2929;13/08/2007;3,4
2929;27/11/2007;3,6
2929;18/03/2008;4,3
2929;10/09/2008;4
2929;03/04/2009;4,3
2929;30/12/2009;4
2929;14/01/2010;4,3
2929;21/02/2011;4,3
2930;01/10/2005;2,4
2930;12/04/2006;2,6
2931;01/10/2005;3
2931;01/06/2006;2,5
2932;01/10/2005;3
2932;01/06/2006;2,5
2941;01/10/2005;0,4
2941;01/06/2006;0,4
2942;01/10/2005;0,4
2944;01/06/2006;0,8
2950;01/10/2002;27,5
2952;01/10/2005;2,6
2960;01/10/2005;6,5
2961;01/10/2005;1,3
2962;01/10/2005;0,8
2963;01/10/2005;6,5
2963;18/03/2008;8
2964;01/10/2005;0,4
2965;01/10/2005;4,3
2966;01/10/2005;1
2970;01/10/2005;1,5
2971;01/10/2005;0,35
2980;01/10/2005;5,6
2980;22/08/2006;6
2980;23/04/2007;6,1
2980;23/07/2007;6,5
2980;13/08/2007;7
2980;21/08/2007;8
2980;18/03/2008;9,5
2980;21/02/2011;10,5
2991;01/03/2010;0,9
2991;06/06/2011;1
2991;19/11/2011;0,9
2991;01/03/2012;1
2992;26/06/2009;0,9
2992;13/10/2009;0,8
2993;27/07/2009;0,9
2993;13/10/2009;0,8
2994;13/10/2009;3,7
2995;05/11/2009;4
3000;29/09/2002;50
3000;02/12/2004;55
3000;18/10/2006;55
3000;21/02/2008;62,5
3000;27/10/2008;72,5
3000;12/10/2009;72,5
3000;30/12/2009;75
3001;29/09/2002;50
3001;02/12/2004;55
3001;01/10/2005;55
3001;18/10/2006;55
3001;21/02/2008;62,5
