CODPROD;FECHAVIG;PRECIOV
2080;27/10/2008;13
2080;12/10/2009;14
2080;14/09/2012;14,03
2081;12/09/2002;10
2081;01/08/2003;10
2081;18/10/2006;11
2081;20/10/2007;12
2081;21/02/2008;13
2081;27/10/2008;13
2081;12/10/2009;14
2081;14/09/2012;14,03
2090;12/09/2002;14
2091;12/09/2002;14
2091;21/02/2008;20,5
2091;27/10/2008;18
2092;12/09/2002;14
2093;12/09/2002;14
2094;30/09/2002;14
2094;01/08/2003;14
2094;18/10/2006;15
2094;23/07/2007;17
2094;20/09/2007;19,5
2094;21/05/2008;20,5
2094;27/10/2008;18
2094;12/10/2009;20
2094;17/01/2011;18
2095;01/01/2010;15
2095;02/01/2010;17
2100;12/09/2002;14
2100;01/08/2003;14
2100;18/10/2006;15
2100;23/07/2007;17
2100;20/09/2007;19,5
2100;21/02/2008;20,5
2100;21/05/2008;20,5
2100;27/10/2008;18
2100;12/10/2009;20
2100;17/01/2011;18
2109;19/05/2009;18
2109;12/10/2009;22
2110;01/04/2003;43
2110;01/08/2003;43
2110;01/12/2004;45
2110;10/08/2005;45
2110;18/10/2006;47
2110;23/07/2007;48
2110;20/09/2007;53
2110;21/02/2008;59,5
2110;27/10/2008;65
2110;12/10/2009;68
2111;12/09/2002;43
2111;01/08/2003;43
2111;01/12/2004;45
2111;10/08/2005;45
2111;18/10/2006;47
2111;23/07/2007;48
2111;20/09/2007;53
2111;21/02/2008;59,5
2111;27/10/2008;65
2111;04/06/2010;68
2112;12/09/2002;43
2112;01/08/2003;43
2112;01/12/2004;45
2112;10/08/2005;45
2113;12/09/2002;43
2113;01/08/2003;43
2113;01/12/2004;45
2113;10/08/2005;45
2113;18/10/2006;47
2113;23/07/2007;48
2113;20/09/2007;53
2113;21/02/2008;59,5
2113;27/10/2008;65
2113;26/10/2009;68
2114;12/09/2002;43
2114;01/08/2003;43
2114;01/12/2004;45
2114;10/08/2005;45
2114;18/10/2006;47
2114;23/07/2007;48
2114;20/09/2007;53
2114;21/02/2008;59,5
2114;27/10/2008;65
2114;12/10/2009;68
2115;12/09/2002;43
2115;01/08/2003;43
2115;01/12/2004;45
2115;10/08/2005;45
2115;18/10/2006;47
2115;23/07/2007;48
2115;20/09/2007;53
2115;21/02/2008;59,5
2115;27/10/2008;65
2115;12/10/2009;68
2116;12/09/2002;43
2116;01/08/2003;43
2116;01/12/2004;45
2116;10/08/2005;45
2116;18/10/2006;47
2116;23/07/2007;48
2116;20/09/2007;53
2116;21/02/2008;59,5
2116;27/10/2008;65
2116;12/10/2009;68
2117;12/09/2002;43
2117;01/08/2003;43
2117;01/12/2004;45
2117;10/08/2005;45
2117;18/10/2006;47
2117;23/07/2007;48
2117;20/09/2007;53
2117;21/02/2008;59,5
2117;27/10/2008;65
2117;26/10/2009;68
2118;12/09/2002;43
2118;01/08/2003;43
2118;01/12/2004;45
2118;10/08/2005;45
2118;18/10/2006;47
2118;23/07/2007;48
2118;20/09/2007;53
2118;21/02/2008;59,5
2118;27/10/2008;65
2118;12/10/2009;68
2119;12/09/2002;43
2119;01/08/2003;43
2119;01/12/2004;45
2119;10/08/2005;45
2119;18/10/2006;47
2119;23/07/2007;48
2119;20/09/2007;53
2119;21/02/2008;59,5
2119;27/10/2008;65
2119;12/10/2009;68
2120;12/09/2002;43
2120;01/08/2003;43
2120;01/12/2004;45
2120;10/08/2005;45
2120;18/10/2006;47
2120;23/07/2007;48
2120;20/09/2007;53
2120;21/02/2008;59,5
2120;27/10/2008;65
2120;12/10/2009;68
2121;12/09/2002;43
2121;01/08/2003;43
2121;01/12/2004;45
2121;10/08/2005;45
2121;18/10/2006;47
2121;20/10/2007;53
2121;16/01/2011;68
2122;12/09/2002;43
2122;01/08/2003;43
2122;01/12/2004;45
2122;10/08/2005;45
2122;18/10/2006;47
2122;20/10/2007;53
2122;16/01/2011;68
2123;12/09/2002;43
2123;01/08/2003;43
2123;01/12/2004;45
2123;10/08/2005;45
2123;18/10/2006;47
2123;23/07/2007;48
2123;20/09/2007;53
2123;21/02/2008;59,5
2123;27/10/2008;65
2123;12/10/2009;68
2124;12/09/2002;43
2124;01/08/2003;43
2124;01/12/2004;45
2124;10/08/2005;45
2125;12/09/2002;43
2125;01/08/2003;43
2125;01/12/2004;45
2125;10/08/2005;45
2125;18/10/2006;47
2125;23/07/2007;48
2125;20/09/2007;53
2125;21/02/2008;59,5
2125;27/10/2008;65
2125;12/10/2009;68
2126;12/09/2002;43
2126;01/08/2003;43
2126;01/12/2004;45
2126;10/08/2005;45
2126;18/10/2006;47
2126;23/07/2007;48
2126;20/09/2007;53
2126;21/02/2008;59,5
2126;27/10/2008;65
2126;16/01/2011;68
2127;12/09/2002;43
2127;01/08/2003;43
2127;01/12/2004;45
2127;10/08/2005;45
2127;18/10/2006;47
2127;23/07/2007;48
2127;20/09/2007;53
2127;21/02/2008;59,5
2127;27/10/2008;65
2127;12/10/2009;68
2128;12/09/2002;43
2128;01/08/2003;43
2128;01/12/2004;45
2128;10/08/2005;45
2128;18/10/2006;47
2128;23/07/2007;48
2128;20/09/2007;53
2128;21/02/2008;59,5
2128;27/10/2008;65
2128;12/10/2009;68
2129;01/12/2004;45
2129;10/08/2005;45
2130;01/08/2003;43
2130;01/12/2004;45
2130;10/08/2005;45
2130;18/10/2006;47
2130;23/07/2007;48
2130;20/09/2007;53
2130;21/02/2008;59,5
2130;27/10/2008;65
2130;12/10/2009;68
2131;01/10/2002;43
2131;01/08/2003;43
2131;01/12/2004;45
2131;10/08/2005;45
2131;18/10/2006;47
2131;20/10/2007;53
2131;16/01/2011;68
2132;12/09/2002;43
2132;01/08/2003;43
2132;01/12/2004;45
2132;10/08/2005;45
2132;18/10/2006;47
2132;23/07/2007;48
2132;20/09/2007;53
2132;21/02/2008;59,5
2132;27/10/2008;65
2132;12/10/2009;68
2133;13/03/2003;43
2133;01/08/2003;43
2133;01/12/2004;45
2133;10/08/2005;45
2133;18/10/2006;47
2133;20/10/2007;53
2133;16/01/2011;68
2134;13/03/2003;43
2134;01/08/2003;43
2134;01/12/2004;45
2134;10/08/2005;45
2134;18/10/2006;47
2134;20/10/2007;53
2134;16/01/2011;68
2135;01/12/2004;45
2135;10/08/2005;45
2135;18/10/2006;47
2135;20/10/2007;53
2135;16/01/2011;68
2136;12/09/2002;43
2136;01/08/2003;43
2136;01/12/2004;45
2136;10/08/2005;45
2136;18/10/2006;47
2136;23/07/2007;48
2136;20/09/2007;53
2136;21/02/2008;59,5
2136;27/10/2008;65
2136;30/12/2009;68
2137;10/08/2005;45
2137;18/10/2006;47
2137;23/07/2007;48
2137;20/09/2007;53
2137;21/02/2008;59,5
2137;27/10/2008;65
2137;12/10/2009;68
2138;10/08/2005;45
2138;18/10/2006;47
2138;21/02/2008;59,5
2138;27/10/2008;65
2138;16/01/2011;68
2139;27/08/2005;45
2139;18/10/2006;47
2139;16/01/2011;68
2140;12/09/2002;14
2140;01/08/2003;14
2140;18/10/2006;15
2140;23/07/2007;16
2140;20/09/2007;19
2140;21/02/2008;19
2140;27/10/2008;22
2140;12/10/2009;23,5
2141;12/09/2002;14
2141;01/08/2003;14
2141;18/10/2006;15
2141;23/07/2007;16
2141;20/09/2007;19
2141;21/02/2008;19
2141;27/10/2008;22
2141;12/10/2009;23,5
2142;12/09/2002;14
2142;01/08/2003;14
2142;18/10/2006;15
2142;23/07/2007;16
2142;20/09/2007;19
2142;21/02/2008;19
2142;27/10/2008;22
2142;12/10/2009;23,5
2143;12/09/2002;14
2143;01/08/2003;14
2143;18/10/2006;15
2143;23/07/2007;16
2143;20/09/2007;19
2143;21/02/2008;19
2143;27/10/2008;22
2143;12/10/2009;23,5
2144;12/09/2002;14
2144;01/08/2003;14
2144;18/10/2006;15
2144;23/07/2007;16
2144;20/09/2007;19
2144;21/02/2008;19
2144;27/10/2008;22
2144;12/10/2009;23,5
2145;12/09/2002;14
2145;01/08/2003;14
2146;12/09/2002;14
2146;01/08/2003;14
2146;18/10/2006;15
2146;23/07/2007;16
2146;20/09/2007;19
2146;21/02/2008;19
2146;27/10/2008;23,5
2147;24/11/2004;13
2148;24/11/2004;13
2149;24/11/2004;13
2150;21/12/2005;14
2150;18/10/2006;15
2150;12/12/2006;12
2150;23/07/2007;16
2150;20/09/2007;19
2150;21/02/2008;12
2151;27/08/2005;45
2151;18/10/2006;47
2151;16/01/2011;68
2152;27/08/2005;45
2152;18/10/2006;47
2152;23/07/2007;48
2152;20/09/2007;53
2152;16/01/2011;68
2160;12/09/2002;35
2160;01/08/2003;35
2160;01/12/2004;38
2160;10/08/2005;40
2160;01/12/2006;42
2160;14/01/2008;43
2160;21/02/2008;47
2160;27/10/2008;50
2160;12/10/2009;55
2161;12/09/2002;35
2161;01/08/2003;35
2161;01/12/2004;38
2161;10/08/2005;40
2161;18/10/2006;42
2161;23/07/2007;43
2161;21/02/2008;47
2161;27/10/2008;50
2161;12/10/2009;55
2162;23/07/1907;43
2162;12/09/2002;35
2162;01/08/2003;35
2162;01/12/2004;38
2162;10/08/2005;40
2162;01/07/2007;42
2162;16/01/2011;55
2163;12/09/2002;35
2163;01/08/2003;35
2163;01/12/2004;38
2163;10/08/2005;40
2163;18/10/2006;42
2163;23/07/2007;43
2163;21/02/2008;47
2163;27/10/2008;50
2163;12/10/2009;55
2164;12/09/2002;35
2164;01/08/2003;35
2164;01/12/2004;38
2164;10/08/2005;40
2164;01/07/2007;42
2164;21/02/2008;47
2164;27/10/2008;50
2164;16/01/2011;55
2165;12/09/2002;35
2165;01/08/2003;35
2165;01/12/2004;38
2165;10/08/2005;40
2165;18/10/2006;42
2165;23/07/2007;43
2165;21/02/2008;47
2165;27/10/2008;50
2165;12/10/2009;55
2166;12/09/2002;35
2166;01/08/2003;35
2166;01/12/2004;38
2166;10/08/2005;40
2166;18/10/2006;42
2166;23/07/2007;43
2166;21/02/2008;47
2166;27/10/2008;50
2166;12/10/2009;55
2167;23/07/1907;43
2167;12/09/2002;35
2167;01/08/2003;35
2167;01/12/2004;38
2167;10/08/2005;40
2167;18/10/2006;42
2167;23/07/2007;43
2167;21/02/2008;47
2167;27/10/2008;50
2167;12/10/2009;55
2168;12/09/2002;35
2168;01/08/2003;35
2168;01/12/2004;38
2168;10/08/2005;40
2168;18/10/2006;42
2168;13/10/2007;43
2168;21/02/2008;47
2168;27/10/2008;50
2168;01/02/2010;55
2169;12/09/2002;35
2169;01/08/2003;35
2169;01/12/2004;38
2169;10/08/2005;40
2169;18/10/2006;42
2169;23/07/2007;43
2169;21/02/2008;47
2169;27/10/2008;50
2169;12/10/2009;55
2170;12/09/2002;35
2170;01/08/2003;35
2170;01/12/2004;38
2170;10/08/2005;40
2170;18/10/2006;42
2170;23/07/2007;43
2170;21/02/2008;47
2170;27/10/2008;50
2170;12/10/2009;55
2171;12/09/2002;35
2171;01/08/2003;35
